STATION_NAME,PGA_VALUE,PGA_LN_SIGMA,LATITUDE,LONGITUDE,STATION_ID,STATION_TYPE,REFERENCES,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
TKY0171103111446,0.2232729831287956,0.0,35.6473,139.8092,TKY017,seismic,Stations_NIED,,,,,,,,,,,,
SIT0081103111446,0.2232658451153047,0.0,35.9745,139.7526,SIT008,seismic,Stations_NIED,,,,,,,,,,,,
IBRH201103111446,0.2204096200027536,0.0,35.8284,140.7323,IBRH20,seismic,Stations_NIED,,,,,,,,,,,,
CHB0121103111446,0.2189320512101485,0.0,35.5721,140.3436,CHB012,seismic,Stations_NIED,,,,,,,,,,,,
TKY0271103111446,0.2166784783794673,0.0,35.693,139.8913,TKY027,seismic,Stations_NIED,,,,,,,,,,,,
TCGH141103111446,0.2151315688843798,0.0,36.5509,139.6154,TCGH14,seismic,Stations_NIED,,,,,,,,,,,,
IBRH191103111446,0.2147654907639207,0.0,36.2137,140.0893,IBRH19,seismic,Stations_NIED,,,,,,,,,,,,
GNM0111103111446,0.2145462517781305,0.0,36.2913,139.3607,GNM011,seismic,Stations_NIED,,,,,,,,,,,,
YMTH071103111446,0.2122335354070965,0.0,37.896,140.0278,YMTH07,seismic,Stations_NIED,,,,,,,,,,,,
SITH111103111446,0.2078008290292815,0.0,35.8637,139.2726,SITH11,seismic,Stations_NIED,,,,,,,,,,,,
SIT0091103111446,0.2069779180454083,0.0,35.9033,139.4826,SIT009,seismic,Stations_NIED,,,,,,,,,,,,
YMTH061103111446,0.2062406632234252,0.0,37.9633,140.1836,YMTH06,seismic,Stations_NIED,,,,,,,,,,,,
SIT0031103111446,0.2061927365614153,0.0,36.0721,139.6969,SIT003,seismic,Stations_NIED,,,,,,,,,,,,
AOMH161103111446,0.2048130605252561,0.0,40.4624,141.0923,AOMH16,seismic,Stations_NIED,,,,,,,,,,,,
YMT0071103111446,0.2041441266895426,0.0,38.4302,140.3902,YMT007,seismic,Stations_NIED,,,,,,,,,,,,
IBR0091103111446,0.2036668995018689,0.0,36.185,139.7037,IBR009,seismic,Stations_NIED,,,,,,,,,,,,
GNMH051103111446,0.2036067362453032,0.0,36.3143,139.1847,GNMH05,seismic,Stations_NIED,,,,,,,,,,,,
YMT0151103111446,0.2029949065175165,0.0,37.9049,140.099,YMT015,seismic,Stations_NIED,,,,,,,,,,,,
IWT0051103111446,0.2029418812744416,0.0,39.6478,141.9465,IWT005,seismic,Stations_NIED,,,,,,,,,,,,
IWTH151103111446,0.2008422855919201,0.0,39.6148,141.0929,IWTH15,seismic,Stations_NIED,,,,,,,,,,,,
YMTH011103111446,0.2001264448104096,0.0,38.3841,140.3805,YMTH01,seismic,Stations_NIED,,,,,,,,,,,,
GNMH121103111446,0.1995941529472351,0.0,36.144,138.9129,GNMH12,seismic,Stations_NIED,,,,,,,,,,,,
TKY0281103111446,0.1989894612329392,0.0,35.6698,139.7891,TKY028,seismic,Stations_NIED,,,,,,,,,,,,
AOM0121103111446,0.1979473112632757,0.0,40.5127,141.488,AOM012,seismic,Stations_NIED,,,,,,,,,,,,
TKY0071103111446,0.1962321485930468,0.0,35.7111,139.6864,TKY007,seismic,Stations_NIED,,,,,,,,,,,,
IBRH071103111446,0.1952787139339125,0.0,35.9521,140.3301,IBRH07,seismic,Stations_NIED,,,,,,,,,,,,
TCGH071103111446,0.1920360163766427,0.0,36.8817,139.4534,TCGH07,seismic,Stations_NIED,,,,,,,,,,,,
IWTH241103111446,0.1917127663371287,0.0,39.1979,141.0118,IWTH24,seismic,Stations_NIED,,,,,,,,,,,,
CHB0101103111446,0.1913405699193917,0.0,35.7086,140.5637,CHB010,seismic,Stations_NIED,,,,,,,,,,,,
GNM0131103111446,0.1897987590053691,0.0,36.3181,139.0174,GNM013,seismic,Stations_NIED,,,,,,,,,,,,
TKY0221103111446,0.1873779527157595,0.0,35.7002,139.7963,TKY022,seismic,Stations_NIED,,,,,,,,,,,,
IWTH031103111446,0.187259665635054,0.0,39.802,141.652,IWTH03,seismic,Stations_NIED,,,,,,,,,,,,
TCG0151103111446,0.1865723769075069,0.0,36.7488,139.7144,TCG015,seismic,Stations_NIED,,,,,,,,,,,,
FKSH051103111446,0.1841097622531652,0.0,37.2544,139.8725,FKSH05,seismic,Stations_NIED,,,,,,,,,,,,
SIT0111103111446,0.1834989522415914,0.0,35.8098,139.7214,SIT011,seismic,Stations_NIED,,,,,,,,,,,,
CHB0091103111446,0.1822049323673224,0.0,35.6075,140.1077,CHB009,seismic,Stations_NIED,,,,,,,,,,,,
GNM0101103111446,0.1812933060729202,0.0,36.2343,139.5335,GNM010,seismic,Stations_NIED,,,,,,,,,,,,
FKSH041103111446,0.1806906537910502,0.0,37.4508,139.8126,FKSH04,seismic,Stations_NIED,,,,,,,,,,,,
FKS0271103111446,0.1806784171964945,0.0,37.0701,139.6807,FKS027,seismic,Stations_NIED,,,,,,,,,,,,
SITH011103111446,0.1806682200343647,0.0,35.929,139.7349,SITH01,seismic,Stations_NIED,,,,,,,,,,,,
CHB0051103111446,0.1795852814161821,0.0,35.7353,140.8271,CHB005,seismic,Stations_NIED,,,,,,,,,,,,
SIT0061103111446,0.1788847363778663,0.0,35.9959,139.0713,SIT006,seismic,Stations_NIED,,,,,,,,,,,,
GNM0121103111446,0.1751892848220343,0.0,36.3118,139.1955,GNM012,seismic,Stations_NIED,,,,,,,,,,,,
TKY0031103111446,0.1746070268644239,0.0,35.7968,139.2916,TKY003,seismic,Stations_NIED,,,,,,,,,,,,
