# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:GEM, Rupture:Heraketal2021
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_1062,13.813739999999996,46.21885,0.0014511939,0.0010777082,0.0019541131,0.0008965148,0.0023490565
t_1063,13.813739999999996,46.28097,0.0014719269,0.0010895565,0.0019884869,0.0009093231,0.002382617
t_1064,13.903570000000002,46.28097,0.0019898447,0.0014938043,0.002650603,0.001229281,0.0032209738
t_1065,13.903570000000002,46.34302,0.0015655064,0.0011706064,0.0020936248,0.0009671345,0.002534095
t_1066,13.813739999999996,46.34302,0.0014987263,0.0011051963,0.0020323815,0.00092587917,0.0024259975
t_1067,13.813739999999996,46.405,0.0013625714,0.0010004691,0.0018557303,0.0008417658,0.0022056028
t_1068,13.903570000000002,46.405,0.0022541515,0.001677982,0.0030281604,0.0013925637,0.0036488087
t_1069,13.813739999999996,46.46691,0.0013271216,0.0009697611,0.0018161709,0.00081986573,0.00214822
t_107,15.340879999999999,44.83441,0.0029613264,0.0024276376,0.0036123404,0.0018294404,0.0047935173
t_1070,13.903570000000002,46.46691,0.0017119708,0.0012680165,0.0023113613,0.0010576168,0.0027711778
t_1071,15.610369999999989,46.28097,0.01231426,0.011737041,0.012919866,0.0076074707,0.019933168
t_1072,15.520540000000011,46.28097,0.011643228,0.011002845,0.012320882,0.0071929223,0.018846964
t_1073,15.610369999999989,46.34302,0.013045416,0.012282554,0.013855659,0.008059163,0.021116696
t_1074,15.520540000000011,46.34302,0.011041954,0.010315779,0.011819248,0.0068214694,0.017873678
t_1075,15.610369999999989,46.405,0.010733395,0.0099784285,0.011545482,0.0066308486,0.017374212
t_1076,15.520540000000011,46.405,0.008805276,0.008128123,0.009538842,0.0054397,0.014253154
t_1077,15.520540000000011,46.46691,0.0077244635,0.007042529,0.0084724305,0.0047719986,0.012503637
t_1078,15.610369999999989,46.46691,0.009346882,0.008577264,0.010185555,0.0057742917,0.015129855
t_1079,15.520540000000011,46.52875,0.006130372,0.005518521,0.0068100602,0.003787205,0.009923271
t_108,15.161220000000014,44.83441,0.0025982528,0.0021013592,0.0032126436,0.0016051418,0.004205808
t_1080,15.610369999999989,46.52875,0.006458451,0.0058489256,0.007131496,0.003989885,0.010454334
t_1081,15.251049999999992,46.34302,0.006785184,0.0061575216,0.0074768267,0.004191733,0.010983219
t_1082,15.161220000000014,46.34302,0.0069154412,0.0062067173,0.0077050915,0.004272203,0.011194067
t_1083,15.161220000000014,46.405,0.0056927456,0.0050618052,0.0064023314,0.0035168494,0.009214883
t_1084,15.340879999999999,46.405,0.0067013954,0.0060805734,0.007385603,0.0041399705,0.01084759
t_1085,15.430710000000005,46.405,0.0074853776,0.006853662,0.00817532,0.004624297,0.012116627
t_1086,15.251049999999992,46.405,0.00625446,0.005619655,0.006960974,0.0038638639,0.010124133
t_1087,15.340879999999999,46.46691,0.006940443,0.0062275627,0.0077349273,0.0042876485,0.011234538
t_1088,15.161220000000014,46.46691,0.0051186956,0.004506207,0.0058144345,0.0031622143,0.008285664
t_1089,15.430710000000005,46.46691,0.006945827,0.006285134,0.007675973,0.0042909747,0.011243253
