# 19961009_M6.8_Cyprus median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_302,32.97210999999999,35.33501,0.037082907,0.03784165,0.036339376,0.027674444,0.04968996
t_303,33.09143,35.35136,0.028699568,0.02896804,0.028433582,0.021414768,0.038462482
t_304,33.01584,35.36111,0.029366352,0.029783893,0.028954662,0.021908632,0.039362684
t_305,32.50979000000001,34.7271,0.19004853,0.21374159,0.16898185,0.14245065,0.25355062
t_306,32.61681999999999,34.68169,0.12930843,0.14397486,0.11613605,0.09754048,0.17142288
t_307,32.66023000000001,34.70794,0.12539999,0.13872841,0.113352105,0.09503263,0.16547114
t_308,32.585019999999986,34.71754,0.14114459,0.15753867,0.12645653,0.10623539,0.18752502
t_309,32.62844000000001,34.7438,0.10504698,0.11649172,0.09472663,0.07934781,0.13906959
t_31,32.98456999999999,34.7934,0.048670124,0.050679244,0.046740655,0.041239016,0.05744029
t_310,32.553200000000004,34.75338,0.15735213,0.17588302,0.14077365,0.11819224,0.20948665
t_311,32.59662,34.77964,0.11296023,0.12545276,0.1017117,0.08507282,0.14998929
t_312,32.47794999999999,34.76292,0.17251691,0.19407305,0.15335506,0.12914677,0.23045163
t_313,32.521360000000016,34.78921,0.12860225,0.14379726,0.115012884,0.0964238,0.17151926
t_314,32.446079999999995,34.79874,0.17745587,0.20322615,0.1549534,0.13269971,0.23730712
t_315,32.48949999999999,34.82502,0.14483811,0.16183339,0.12962763,0.10843333,0.19346523
t_316,32.414199999999994,34.83454,0.16834088,0.19189948,0.14767446,0.1257699,0.2253214
t_317,32.45761999999999,34.86083,0.12598477,0.14088304,0.11266198,0.09420318,0.1684886
t_318,32.50107,34.88711,0.1297409,0.14223123,0.118347414,0.097105354,0.17334469
t_319,32.42572000000001,34.89663,0.1247149,0.13858637,0.11223186,0.093163274,0.16695212
t_32,33.103350000000006,34.80977,0.0372637,0.03810414,0.0364418,0.032258976,0.04304487
t_320,32.46916999999999,34.92291,0.1215469,0.13251333,0.11148803,0.0908578,0.16260189
t_321,32.64007000000001,34.80589,0.10129948,0.11175502,0.09182213,0.07653548,0.13407616
t_322,32.564790000000016,34.81547,0.120332316,0.13370441,0.1082976,0.0903966,0.16018154
t_323,32.608239999999995,34.84173,0.10275719,0.1134378,0.093082204,0.077367835,0.13647844
t_324,32.532939999999996,34.8513,0.11527214,0.12801489,0.10379782,0.086417004,0.15376218
t_325,32.65171000000001,34.86797,0.08657576,0.09494417,0.078944944,0.0653482,0.114698835
t_326,32.57639,34.87755,0.115412064,0.12737155,0.104575515,0.086657256,0.15370835
t_327,32.61986999999999,34.9038,0.07939517,0.08706528,0.072400756,0.05971483,0.105561584
t_328,32.54453000000001,34.91337,0.0996255,0.109839275,0.090361476,0.07464544,0.13296512
t_329,32.663369999999986,34.93003,0.080607176,0.087825865,0.07398181,0.060729686,0.10699078
t_33,33.02811,34.81955,0.0460364,0.047635306,0.04449116,0.03907596,0.054236673
t_330,32.58801,34.93962,0.09161714,0.100384146,0.08361579,0.06872295,0.122138225
t_331,32.329920000000016,35.00395,0.09422769,0.10120805,0.08772876,0.070265666,0.12636125
t_332,32.37339,35.03024,0.09033266,0.09551139,0.08543473,0.06737593,0.12111135
t_333,32.29793999999998,35.0397,0.101001576,0.10688093,0.095445625,0.075292826,0.13548858
t_334,32.34142,35.066,0.076673955,0.07996134,0.07352172,0.057166085,0.10283886
t_335,32.39381,34.93241,0.122198164,0.13455553,0.110975675,0.091214724,0.16370593
t_336,32.36187000000001,34.96819,0.11717274,0.12754832,0.107641175,0.08741344,0.1570634
t_337,32.512640000000005,34.94917,0.09126456,0.09755956,0.08537575,0.068271406,0.12200159
t_338,32.43726000000001,34.9587,0.113117196,0.12232969,0.10459848,0.08447551,0.15146993
t_339,32.48074,34.98497,0.10028919,0.10643632,0.09449708,0.07493291,0.1342257
t_34,33.07166999999998,34.84569,0.043389276,0.044768214,0.042052813,0.036217954,0.05198056
t_340,32.40532999999999,34.99448,0.098133944,0.10503503,0.09168628,0.073233515,0.13150087
t_341,32.52422999999999,35.01123,0.07888496,0.08211432,0.075782605,0.05897014,0.105525225
t_342,32.44882000000001,35.02075,0.10080871,0.1059933,0.095877714,0.07525497,0.13503954
t_343,32.49232000000001,35.04702,0.07862539,0.08115282,0.076176666,0.058714613,0.10528812
t_344,32.50390999999999,35.10905,0.07342617,0.0736581,0.07319497,0.054802116,0.098379456
t_345,32.63150999999999,34.96586,0.07446521,0.08108199,0.0683884,0.05591937,0.09916184
