STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
AVCI,AVCILAR-ISTANBUL-UNI,28.7225,40.9958,seismic,521.51,4.0,0.63,0.0,0.007649,0.0,2.4992,0.0,0.009297,0.0,0.018887,0.0,0.016475,inferred,Stations_USGS
BASM,Basmakci-Afyon,30.035,37.9194,seismic,394.6,3.6,0.63,0.0,0.005925,0.0,1.3324,0.0,0.007297,0.0,0.024503,0.0,0.004226,inferred,Stations_USGS
BRGA,Burgazada-ISTANBUL,29.0688,40.8799,seismic,600.0,2.5,0.63,0.0,0.001322,0.0,0.2519,0.0,0.002019,0.0,0.00359,0.0,0.000705,inferred,Stations_USGS
DATC,Datca-MUGLA,27.6602,36.7584,seismic,442.4,5.6,0.63,0.0,0.060951,0.0,9.4145,0.0,0.11318,0.0,0.117675,0.0,0.045756,inferred,Stations_USGS
DEMR,Demre ANTALYA,29.9056,36.2365,seismic,880.07,2.9,0.63,0.0,0.001157,0.0,0.418,0.0,0.001212,0.0,0.002219,0.0,0.002061,inferred,Stations_USGS
ESKT,ESKISEHIR,30.8492,39.5212,seismic,486.89,2.1,0.63,0.0,0.000419,0.0,0.0994,0.0,0.000907,0.0,0.000859,0.0,0.000746,inferred,Stations_USGS
FETI,Fethiye-MUGLA,29.0968,36.6903,seismic,353.76,3.8,0.63,0.0,0.006578,0.0,1.7125,0.0,0.009469,0.0,0.011734,0.0,0.006321,inferred,Stations_USGS
GORD,Gordes MANISA,28.1769,38.9088,seismic,519.93,4.9,0.63,0.0,0.044001,0.0,5.7037,0.0,0.07748,0.0,0.077593,0.0,0.014146,inferred,Stations_USGS
HVHR,Havaharbokulu-ISTANBUL,28.6678,40.9908,seismic,418.93,3.3,0.63,0.0,0.005393,0.0,0.8262,0.0,0.007601,0.0,0.005668,0.0,0.002507,inferred,Stations_USGS
IZI,Iznik-BURSA,29.4728,40.3368,seismic,749.31,3.7,0.63,0.0,0.005995,0.0,0.9805,0.0,0.008496,0.0,0.011748,0.0,0.002734,inferred,Stations_USGS
KAVV,Kav Binasi-Kandilli-ISTANBUL,29.0608,41.0628,seismic,472.71,3.1,0.63,0.0,0.00348,0.0,0.4314,0.0,0.009412,0.0,0.004542,0.0,0.002181,inferred,Stations_USGS
KEMT,Kemer-ANTALYA,30.5559,36.6037,seismic,418.46,2.4,0.63,0.0,0.000567,0.0,0.185,0.0,0.001475,0.0,0.001033,0.0,0.001015,inferred,Stations_USGS
KHL,Karahalli-USAK,29.5286,38.3232,seismic,491.91,3.6,0.63,0.0,0.003518,0.0,1.2487,0.0,0.009469,0.0,0.005286,0.0,0.006154,inferred,Stations_USGS
KRBN,Karaburun-IZMIR,26.5537,38.5936,seismic,644.1,7.0,0.63,0.0,0.266877,0.0,20.9633,0.0,0.600593,0.0,0.3463,0.0,0.032014,inferred,Stations_USGS
LAFA,Lafarge-ISTANBUL,29.3554,40.7598,seismic,393.52,2.5,0.63,0.0,0.000871,0.0,0.2265,0.0,0.001684,0.0,0.001383,0.0,0.001143,inferred,Stations_USGS
MNVG,Manavgat-ANTALYA,31.4161,36.7935,seismic,371.73,3.6,0.63,0.0,0.002657,0.0,1.3022,0.0,0.00376,0.0,0.004584,0.0,0.00644,inferred,Stations_USGS
SEYD,Seydisehir-KONYA,31.838,37.4057,seismic,867.7,2.9,0.63,0.0,0.00079,0.0,0.3465,0.0,0.000995,0.0,0.001993,0.0,0.00237,inferred,Stations_USGS
TKR,TEKIRDAG,27.5357,40.9902,seismic,564.09,3.9,0.63,0.0,0.016656,0.0,2.2144,0.0,0.038229,0.0,0.022068,0.0,0.007547,inferred,Stations_USGS
TUZL,Tuzla-ISTANBUL,29.2657,40.8128,seismic,225.68,2.1,0.66,0.0,0.001026,0.0,0.1201,0.0,0.0015,0.0,0.001821,0.0,0.000886,inferred,Stations_USGS
EMSC.UTM:(229000 3933000 35 S),,24.0175,35.5083,macroseismic,286.88,3.7,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(229000 3934000 35 S),,24.0172,35.5173,macroseismic,290.57,3.4,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(230000 3932000 35 S),,24.0289,35.4995,macroseismic,330.36,3.5,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(230000 3933000 35 S),,24.0286,35.5085,macroseismic,386.04,3.6,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(270000 3916000 35 S),,24.474,35.3654,macroseismic,494.77,3.2,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(280000 4513000 36 T),,30.4003,40.7432,macroseismic,305.4,2.0,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(314000 4668000 35 T),,24.755,42.1467,macroseismic,243.84,2.7,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(324000 3908000 35 S),,25.0697,35.3043,macroseismic,422.48,3.5,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(328000 3911000 35 S),,25.113,35.332,macroseismic,415.4,3.2,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(329000 3910000 35 S),,25.1242,35.3232,macroseismic,384.27,3.2,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(329000 3911000 35 S),,25.124,35.3322,macroseismic,415.4,2.8,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(329000 3912000 35 S),,25.1238,35.3412,macroseismic,415.4,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(330000 3910000 35 S),,25.1352,35.3234,macroseismic,383.45,4.5,0.3,0.8059,0.030754,0.875,4.2016,1.0131,0.046488,1.0822,0.067124,1.4737,0.014626,inferred,Stations_USGS
EMSC.UTM:(330000 3911000 35 S),,25.135,35.3324,macroseismic,412.55,3.9,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(330000 3912000 35 S),,25.1348,35.3414,macroseismic,412.55,3.3,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(331000 3909000 35 S),,25.1464,35.3145,macroseismic,388.4,4.1,0.3,0.8059,0.016976,0.875,2.9012,1.0131,0.026956,1.0822,0.048859,1.4737,0.010771,inferred,Stations_USGS
EMSC.UTM:(337000 4156000 35 S),,25.1606,37.5412,macroseismic,374.97,3.7,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(341000 3910000 35 S),,25.2562,35.3252,macroseismic,600.0,3.6,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(359000 4031000 35 S),,25.4328,36.4184,macroseismic,578.77,4.5,0.3,0.8059,0.039407,0.875,4.2016,1.0131,0.054547,1.0822,0.062207,1.4737,0.013431,inferred,Stations_USGS
EMSC.UTM:(403000 4579000 34 T),,19.8463,41.3612,macroseismic,760.0,1.7,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(405000 4522000 35 T),,25.8789,40.8481,macroseismic,301.06,3.2,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(424000 4246000 35 S),,26.1358,38.3635,macroseismic,421.55,7.1,0.3,0.8059,0.270235,0.875,27.9385,1.0131,0.523417,1.0822,0.406057,1.4737,0.07947,inferred,Stations_USGS
EMSC.UTM:(424000 4247000 35 S),,26.1357,38.3725,macroseismic,421.55,7.8,0.3,0.8059,0.416389,0.875,46.5288,1.0131,0.771219,1.0822,0.709322,1.4737,0.136065,inferred,Stations_USGS
EMSC.UTM:(445000 4237000 35 S),,26.3768,38.2839,macroseismic,337.49,7.4,0.3,0.8059,0.35784,0.875,34.7648,1.0131,0.649824,1.0822,0.486393,1.4737,0.093713,inferred,Stations_USGS
EMSC.UTM:(449000 4444000 35 T),,26.4071,40.1493,macroseismic,277.99,3.7,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(450000 4445000 35 T),,26.4188,40.1584,macroseismic,234.0,4.2,0.3,0.8059,0.022394,0.875,3.3766,1.0131,0.033107,1.0822,0.051181,1.4737,0.011205,inferred,Stations_USGS
EMSC.UTM:(461000 4328000 35 S),,26.5547,39.1048,macroseismic,553.22,4.6,0.3,0.8059,0.046645,0.875,4.5192,1.0131,0.071688,1.0822,0.063096,1.4737,0.013477,inferred,Stations_USGS
EMSC.UTM:(463000 4325000 35 S),,26.578,39.0778,macroseismic,600.0,3.6,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(473000 4352000 35 S),,26.6926,39.3215,macroseismic,425.04,3.5,0.3,,,,,,,,,,,inferred,Stations_USGS
EMSC.UTM:(487000 4366000 35 S),,26.8547,39.448,macroseismic,600.0,5.8,0.3,0.8059,0.091588,0.875,10.8345,1.0131,0.220046,1.0822,0.170991,1.4737,0.035461,inferred,Stations_USGS
EMSC.UTM:(490000 4324000 35 S),,26.8902,39.0695,macroseismic,600.0,4.2,0.3,0.8059,0.034621,0.875,3.3766,1.0131,0.041879,1.0822,0.045764,1.4737,0.009795,inferred,Stations_USGS
EMSC.UTM:(498000 4089000 35 S),,26.9832,36.9516,macroseismic,549.8,5.8,0.3,0.8059,0.104666,0.875,10.8345,1.0131,0.236041,1.0822,0.15756,1.4737,0.032354,inferred,Stations_USGS
