# 19961009_M6.8_Cyprus median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_309,32.62844000000001,34.7438,0.06753617,0.06729494,0.06777826,0.041722316,0.109321214
t_31,32.98456999999999,34.7934,0.034004264,0.032516778,0.035559796,0.021007065,0.05504291
t_310,32.553200000000004,34.75338,0.100754105,0.101084895,0.1004244,0.062243607,0.16309129
t_311,32.59662,34.77964,0.072468184,0.07227571,0.07266117,0.044769205,0.1173047
t_312,32.47794999999999,34.76292,0.11019495,0.111196086,0.10920283,0.06807595,0.17837325
t_313,32.521360000000016,34.78921,0.0822382,0.08250869,0.08196859,0.050804894,0.13311948
t_314,32.446079999999995,34.79874,0.11326051,0.116324805,0.11027694,0.06996978,0.18333548
t_315,32.48949999999999,34.82502,0.092519484,0.092729524,0.092309915,0.057156444,0.14976186
t_316,32.414199999999994,34.83454,0.10737264,0.10975085,0.10504597,0.066332385,0.17380476
t_317,32.45761999999999,34.86083,0.08040498,0.08063473,0.0801759,0.04967238,0.13015205
t_318,32.50107,34.88711,0.08286001,0.08147813,0.08426532,0.051189035,0.134126
t_319,32.42572000000001,34.89663,0.07953869,0.079249986,0.07982845,0.0491372,0.12874977
t_32,33.103350000000006,34.80977,0.026442507,0.024932414,0.028044064,0.016335582,0.04280265
t_320,32.46916999999999,34.92291,0.07755598,0.07582369,0.079327844,0.047912326,0.12554033
t_321,32.64007000000001,34.80589,0.06513816,0.064572796,0.06570847,0.04024088,0.10543954
t_322,32.564790000000016,34.81547,0.077056825,0.07685232,0.07726188,0.047603965,0.12473236
t_323,32.608239999999995,34.84173,0.0659097,0.065337576,0.06648683,0.04071752,0.10668843
t_324,32.532939999999996,34.8513,0.073706426,0.07344361,0.07397019,0.04553416,0.119309045
t_325,32.65171000000001,34.86797,0.055631634,0.054811124,0.05646443,0.034367964,0.09005127
t_326,32.57639,34.87755,0.07387945,0.07317896,0.074586645,0.04564105,0.11958911
t_327,32.61986999999999,34.9038,0.050885975,0.050099093,0.051685218,0.031436205,0.08236945
t_328,32.54453000000001,34.91337,0.063676074,0.06298396,0.06437579,0.039337635,0.103072844
t_329,32.663369999999986,34.93003,0.05172647,0.050615408,0.052861925,0.031955443,0.08372996
t_33,33.02811,34.81955,0.032205068,0.030612797,0.033880156,0.019895561,0.05213054
t_330,32.58801,34.93962,0.058605563,0.057621863,0.05960606,0.03620519,0.09486519
t_331,32.329920000000016,35.00395,0.06001878,0.057782676,0.062341426,0.037078246,0.09715277
t_332,32.37339,35.03024,0.05754697,0.054541223,0.06071836,0.035551216,0.09315164
t_333,32.29793999999998,35.0397,0.064318515,0.061003625,0.06781354,0.039734524,0.10411278
t_334,32.34142,35.066,0.04883182,0.045645185,0.052240923,0.030167192,0.079044364
t_335,32.39381,34.93241,0.07789125,0.07689218,0.0789033,0.04811945,0.12608305
t_336,32.36187000000001,34.96819,0.07465701,0.07284977,0.07650909,0.04612141,0.12084776
t_337,32.512640000000005,34.94917,0.0582645,0.055860665,0.060771782,0.03599449,0.09431311
t_338,32.43726000000001,34.9587,0.072127156,0.0699354,0.07438761,0.044558525,0.11675267
t_339,32.48074,34.98497,0.06397066,0.060876913,0.06722164,0.03951963,0.10354971
t_34,33.07166999999998,34.84569,0.02998782,0.02833374,0.031738464,0.018525796,0.048541468
t_340,32.40532999999999,34.99448,0.06254087,0.060008757,0.06517982,0.03863633,0.101235285
t_341,32.52422999999999,35.01123,0.05033613,0.04698748,0.05392342,0.03109652,0.0814794
t_342,32.44882000000001,35.02075,0.06426118,0.060574904,0.06817179,0.039699104,0.10401997
t_343,32.49232000000001,35.04702,0.050132502,0.046392906,0.054173533,0.030970724,0.08114979
t_344,32.50390999999999,35.10905,0.04679893,0.042087387,0.052037913,0.028911319,0.07575372
t_345,32.63150999999999,34.96586,0.04767226,0.046589553,0.04878013,0.029450843,0.077167384
