STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
OBS_369,Tropaia,21.95,37.733,macroseismic,561.42,4.0,0.3,0.8059,0.035529,0.875,2.1544,1.0131,0.040637,1.0822,0.021555,1.4737,0.003854,inferred,Stations_USGS
OBS_296,Platanovrysi,21.73,38.13,macroseismic,474.56,4.5,0.3,0.8059,0.05747,0.875,3.9349,1.0131,0.094927,1.0822,0.039656,1.4737,0.008196,inferred,Stations_USGS
OBS_36,Ampelaki,21.35,38.95,macroseismic,854.23,4.0,0.3,0.8059,0.027255,0.875,2.1544,1.0131,0.035221,1.0822,0.024566,1.4737,0.00469,inferred,Stations_USGS
OBS_337,Skoutera,21.47,38.67,macroseismic,480.73,4.0,0.3,0.8059,0.033834,0.875,2.1544,1.0131,0.039579,1.0822,0.022081,1.4737,0.003996,inferred,Stations_USGS
obs_322,STYLIDA  PHTHIOTIDA(5088),22.633,38.917,macroseismic,562.29,4.0,0.3,0.8059,0.033447,0.875,2.1544,1.0131,0.039334,1.0822,0.022207,1.4737,0.00403,inferred,Stations_USGS
OBS_237,Mataragka,21.47,38.52,macroseismic,900.0,4.5,0.3,0.8059,0.050848,0.875,3.9349,1.0131,0.08108,1.0822,0.04591,1.4737,0.010032,inferred,Stations_USGS
obs_309,DOMOKOS  PHTHIOTIDA(1.939),22.316,39.126,macroseismic,491.75,4.0,0.3,0.8059,0.029067,0.875,2.1544,1.0131,0.036465,1.0822,0.023798,1.4737,0.004471,inferred,Stations_USGS
obs_228,KARDAMAS  ELIA(1029),21.342,37.761,macroseismic,342.9,4.0,0.3,0.8059,0.028187,0.875,2.1544,1.0131,0.035866,1.0822,0.024162,1.4737,0.004574,inferred,Stations_USGS
OBS_83,Dafni,22.02,37.78,macroseismic,851.7,4.0,0.3,0.8059,0.038072,0.875,2.1544,1.0131,0.042181,1.0822,0.020833,1.4737,0.003662,inferred,Stations_USGS
OBS_323,Sargiada,21.417,38.767,macroseismic,480.96,4.5,0.3,0.8059,0.047705,0.875,3.9349,1.0131,0.074685,1.0822,0.047741,1.4737,0.010482,inferred,Stations_USGS
obs_257,DIMINIO  KORINTHIA(614),22.703,38.029,macroseismic,555.26,4.0,0.3,0.8059,0.041118,0.875,2.1544,1.0131,0.046591,1.0822,0.019023,1.4737,0.003195,inferred,Stations_USGS
obs_205,DIMITSANA  ARKADIA(870),22.043,37.605,macroseismic,452.53,4.0,0.3,0.8059,0.031621,0.875,2.1544,1.0131,0.038161,1.0822,0.02283,1.4737,0.004201,inferred,Stations_USGS
obs_407,ANAVYSSOS  ANATOLIKI-ATTIKI(4108),23.93,37.737,macroseismic,580.73,2.5,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_365,Tolofon,22.2,38.33,macroseismic,600.0,7.0,0.3,0.8059,0.399553,0.875,24.3263,1.0131,0.646046,1.0822,0.245113,1.4737,0.047983,inferred,Stations_USGS
obs_304,THOURIA  MESSINIA(1140),22.042,37.082,macroseismic,315.2,4.0,0.3,0.8059,0.021893,0.875,2.1544,1.0131,0.031295,1.0822,0.027368,1.4737,0.005515,inferred,Stations_USGS
obs_287,AGIOS-PETROS  LEVKADA(647),20.603,38.656,macroseismic,900.0,4.0,0.3,0.8059,0.021395,0.875,2.1544,1.0131,0.030909,1.0822,0.027681,1.4737,0.00561,inferred,Stations_USGS
OBS_245,Mesarista,21.583,38.483,macroseismic,593.1,5.0,0.3,0.8059,0.072992,0.875,5.6645,1.0131,0.167189,1.0822,0.066209,1.4737,0.014206,inferred,Stations_USGS
OBS_307,Psathopyrgos,21.867,38.317,macroseismic,869.19,5.0,0.3,0.8059,0.090211,0.875,5.6645,1.0131,0.186881,1.0822,0.058149,1.4737,0.012283,inferred,Stations_USGS
obs_274,DAPHNI  LAKONIA(375),22.461,36.945,macroseismic,743.44,4.0,0.3,0.8059,0.020533,0.875,2.1544,1.0131,0.030231,1.0822,0.028247,1.4737,0.005783,inferred,Stations_USGS
